Авторы,Идентификатор автора(ов),Название,Год,Название источника,Том,Выпуск ,Статья №,Страница начала,Страница окончания,Количество страниц,Цитирования,DOI,Ссылка,Тип документа,Стадия публикации,Открытый доступ,Источник,EID
"Gelfan, A.N., Motovilov, Y.G.","6602256614;6603570450;","Long-term hydrological forecasting in cold regions: Retrospect, current status and prospect",2009,"Geography Compass","3","5",,"1841","1864",,12,"10.1111/j.1749-8198.2009.00256.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049408746&doi=10.1111%2fj.1749-8198.2009.00256.x&partnerID=40&md5=2271b795a7d39eb0b2c088b245419eed",Article,"Final","",Scopus,2-s2.0-78049408746
"Kuchment, L.S., Gelfan, A.N.","7003897223;6602256614;","A study of effectiveness of the ensemble long-term forecasts of spring floods issued with physically based models of the river runoff formation",2009,"Russian Meteorology and Hydrology","34","2",,"100","109",,3,"10.3103/S106837390902006X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-65149097022&doi=10.3103%2fS106837390902006X&partnerID=40&md5=d18f7a38cfaba7084ad5d9ff0fbb6674",Article,"Final","",Scopus,2-s2.0-65149097022
"Rutter, N., Essery, R., Pomeroy, J., Altimir, N., Andreadis, K., Baker, I., Barr, A., Bartlett, P., Boone, A., Deng, H., Douville, H., Dutra, E., Elder, K., Ellis, C., Feng, X., Gelfan, A., Goodbody, A., Gusev, Y., Gustafsson, D., Hellström, R., Hirabayashi, Y., Hirota, T., Jonas, T., Koren, V., Kuragina, A., Lettenmaier, D., Li, W.-P., Luce, C., Martin, E., Nasonova, O., Pumpanen, J., Pyles, R.D., Samuelsson, P., Sandells, M., Schädler, G., Shmakin, A., Smirnova, T.G., Stähli, M., Stöckli, R., Strasser, U., Su, H., Suzuki, K., Takata, K., Tanaka, K., Thompson, E., Vesala, T., Viterbo, P., Wiltshire, A., Xia, K., Xue, Y., Yamazaki, T.","34974658200;7003785403;24492458800;6602601434;12042086300;7102890144;7102665960;21735966500;7003715976;57212593437;7004468723;25926243900;35616329600;24491826200;26638116300;6602256614;57224692755;7102224522;56681896800;23105886000;36463595600;10042947300;6701712459;7004144651;57209999019;7006616050;55718747400;56266354300;55250170900;6604093586;6602414538;6701741780;7004006601;56115779300;6603628828;6701340330;7202612588;6601982297;57206531303;6603358668;36149540700;55503641900;14628012000;7406925763;57209998310;7005755464;7003994238;24339847400;25634562200;7402270607;36994251800;","Evaluation of forest snow processes models (SnowMIP2)",2009,"Journal of Geophysical Research Atmospheres","114","6",,"","",,244,"10.1029/2008JD011063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-66449089503&doi=10.1029%2f2008JD011063&partnerID=40&md5=3c178f37dcf6a49fca56334a18262a2d",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-66449089503
"Kuchment, L., Gelfan, A.","7003897223;6602256614;","Long-term probabilistic forecasting of snowmelt flood characteristics and the forecast uncertainty",2007,"IAHS-AISH Publication",,"313",,"213","220",,6,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-55749115632&partnerID=40&md5=94ac585674262dcff12b1ebe08171bf1",Conference Paper,"Final","",Scopus,2-s2.0-55749115632
"Kuchment, L.S., Gel'fan, A.N.","7003897223;6602256614;","Long-term ensemble forecast of snowmelt runoff with the help of the physics-based models of runoff generation",2007,"Russian Meteorology and Hydrology","32","2",,"126","134",,3,"10.3103/S1068373907020070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548256282&doi=10.3103%2fS1068373907020070&partnerID=40&md5=0990af3601a26ab5387acd8db3aff008",Article,"Final","",Scopus,2-s2.0-34548256282
"Gelfan, A.","6602256614;","Physically-based model of heat and water transfer in frozen soil and its parameterization by basic soil data",2006,"IAHS-AISH Publication",,"303",,"293","304",,9,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745781517&partnerID=40&md5=06206b66cbc8f702340f0928a1973cad",Conference Paper,"Final","",Scopus,2-s2.0-33745781517
"Bronstert, A., Kabat, P., Carrera, J., Lütkemeier, S., Abarca, E., Arandes, R., Band, L.E., Bastidas, L.A., Bonell, M., Chase, T.N., Claussen, M., Demidov, V.N., Eickhout, B., Ganopolski, A., Gelfan, A.N., Georgiadi, A., Gottschalk, L., Gryning, S.-E., Hall, F.G., Halldin, S., Holzbecher, E., Hutjes, R.W.A., Jaeger, A., Krol, M.S., Kuchment, L.S., Leavesley, G., Leemans, R., Liston, G.E., Lyons, W.A., Marshall, C.H., Mölders, N., Motovilov, Y.G., Pielke Sr., R.A., Sánchez-Vila, X., Shuttleworth, J., Springer, E.P., Steyaert, L.T., Tague, C.L., Vasiliev, O.F., Vázquez-Suñé, E., Vidale, P.-L., Walko, R.L.","7003498594;7004144124;7004569892;24480006400;6506811407;55999804400;7005637276;6602779806;7003727030;57209089997;7007051716;7202284590;7801344857;55991851900;6602256614;6603570267;7102374426;7003436552;7401636555;55883636600;7003901738;6602267589;7102990982;16162365000;7003897223;7004207364;7004379793;7003377229;7103100609;36864686200;7004154240;6603570450;35453054300;7003700138;7006531985;7102576657;7004143415;6602800273;7003900280;7801408662;6602887222;7004134577;","Coupled models for the hydrological cycle: Integrating atmosphere, biosphere, and pedosphere",2005,"Coupled Models for the Hydrological Cycle: Integrating Atmosphere, Biosphere, and Pedosphere",,,,"1","345",,11,"10.1007/b138919","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892291169&doi=10.1007%2fb138919&partnerID=40&md5=6a7df6c5e2d5a4d60c580beb1494502b",Book,"Final","",Scopus,2-s2.0-84892291169
"Kuchment, L.S., Gelfan, A.N.","7003897223;6602256614;","Estimation of parameters of physically based models of runoff generation under insufficiency of hydrological observations",2005,"Russian Meteorology and Hydrology",,"12",,"57","64",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751546942&partnerID=40&md5=11ad52aba23d034ac8c76f79cd9139f3",Article,"Final","",Scopus,2-s2.0-33751546942
"Kuchment, L.S., Gelfan, A.N.","7003897223;6602256614;","Physicomathematical model of snow accumulation and melt in a forest",2004,"Russian Meteorology and Hydrology",,"5",,"57","65",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-20944434379&partnerID=40&md5=164801054f52e3ae6b4e130ff01cad08",Article,"Final","",Scopus,2-s2.0-20944434379
"Gelfan, A.N., Pomeroy, J.W., Kuchment, L.S.","6602256614;24492458800;7003897223;","Modeling forest cover influences on snow accumulation, sublimation, and melt",2004,"Journal of Hydrometeorology","5","5",,"785","803",,125,"10.1175/1525-7541(2004)005<0785:MFCIOS>2.0.CO;2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-9444264252&doi=10.1175%2f1525-7541%282004%29005%3c0785%3aMFCIOS%3e2.0.CO%3b2&partnerID=40&md5=15f95f7dff3461c849deb5c49279981b",Article,"Final","",Scopus,2-s2.0-9444264252
"Kuchment, L.S., Gelfan, A.N.","7003897223;6602256614;","Physicomathematical model of snow accumulation and melt in forest",2004,"Meteorologiya i Gidrologiya",,"5",,"85","96",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-2942631725&partnerID=40&md5=ca01ef08782c8a40578045d9019e24dc",Article,"Final","",Scopus,2-s2.0-2942631725
"Kuchment, L.S., Gelfan, A.N., Demidov, V.N.","7003897223;6602256614;7202284590;","Application of dynamic-stochastic runoff generation models for estimating extreme flood frequency distributions",2003,"IAHS-AISH Publication",,"281",,"107","114",,5,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042268514&partnerID=40&md5=e448552d7eb772f272abaa719128aea3",Article,"Final","",Scopus,2-s2.0-0042268514
"Kuchment, L.S., Gelfan, A.N., Demidov, V.N.","7003897223;6602256614;7202284590;","Calculation of statistical characteristics of flood peak discharges from meteorological data using dynamic-stochastic models",2002,"Russian Meteorology and Hydrology",,"5",,"64","73",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036991424&partnerID=40&md5=579ad75fe914f6d6219b8e521e4dc0d4",Article,"Final","",Scopus,2-s2.0-0036991424
"Kuchment, L.S., Gelfan, A.N., Demidov, V.N.","7003897223;6602256614;7202284590;","Calculation of probabilistic characteristics of the maximum floods from meteorological data using dynamic-stochastic models",2002,"Meteorologiya i Gidrologiya",,"5",,"83","95",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036423597&partnerID=40&md5=3a2f64dea114250e06cf48b405f71b95",Article,"Final","",Scopus,2-s2.0-0036423597
"Kuchment, L.S., Gelfan, A.N.","7003897223;6602256614;","Estimation of Extreme Flood Characteristics Using Physically Based Models of Runoff Generation and Stochastic Meteorological Inputs",2002,"Water International","27","1",,"77","86",,10,"10.1080/02508060208686980","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036242906&doi=10.1080%2f02508060208686980&partnerID=40&md5=7057f000a94f14f532947c77d08f47a5",Article,"Final","",Scopus,2-s2.0-0036242906
"Kuchment, L.S., Gelfan, A.N.","7003897223;6602256614;","Statistical self-similarity of spatial variations of snow cover: Verification of the hypothesis and application in the snowmelt runoff generation models",2001,"Hydrological Processes","15","18",,"3343","3355",,18,"10.1002/hyp.1032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035977463&doi=10.1002%2fhyp.1032&partnerID=40&md5=9287263a84dbfcab5ab6b4215c48b692",Article,"Final","",Scopus,2-s2.0-0035977463
"Kuchment, L.S., Gelfan, A.N., Demidov, V.N.","7003897223;6602256614;7202284590;","A distributed model of runoff generation in the permafrost regions",2000,"Journal of Hydrology","240","1-2",,"1","22",,54,"10.1016/S0022-1694(00)00318-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034739742&doi=10.1016%2fS0022-1694%2800%2900318-8&partnerID=40&md5=42f86ed51e602b5520f19ba720dc894c",Article,"Final","",Scopus,2-s2.0-0034739742
"Kuchment, L.S., Gel'fan, A.N., Demidov, V.N.","7003897223;6602256614;7202284590;","A model of runoff formation on watersheds in the permafrost zone: Case study of the upper kolyma river",2000,"Water Resources","27","4",,"392","400",,12,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-1942493224&partnerID=40&md5=9169cf63f87b344aed6e6f643f8d7952",Article,"Final","",Scopus,2-s2.0-1942493224
"Gelfan, A., Hajda, P., Novotny, V.","6602256614;6602433648;7103053714;","Recursive system identification for real-time sewer flow forecasting",1999,"Journal of Hydrologic Engineering","4","3",,"280","287",,4,"10.1061/(ASCE)1084-0699(1999)4:3(280)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033167075&doi=10.1061%2f%28ASCE%291084-0699%281999%294%3a3%28280%29&partnerID=40&md5=f823fe6d6c032c90464091b880e22874",Article,"Final","",Scopus,2-s2.0-0033167075
"Kuchment, L.S., Gelfan, A.N.","7003897223;6602256614;","Statistical self-similarity of spatial snow accumulation variations and its application to snowmelt runoff models",1998,"Russian Meteorology and Hydrology","7","1997",,"53","60",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031844562&partnerID=40&md5=80518ac33a69645aab3f422ef7edd276",Article,"Final","",Scopus,2-s2.0-0031844562
"Kuchment, L.S., Gelfan, A.N.","7003897223;6602256614;","Statistical self-similarity of spatial snow accumulation variations and its application to snowmelt runoff models",1997,"Russian Meteorology and Hydrology",,"7",,"53","60",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-27644518440&partnerID=40&md5=be2a699edc56a7e27fd646c482eba2cf",Article,"Final","",Scopus,2-s2.0-27644518440
"Kuchment, L.S., Gelfan, A.N.","7003897223;6602256614;","The determination of the snowmelt rate and the meltwater outflow from a snowpack for modelling river runoff generation",1996,"Journal of Hydrology","179","1-4",,"23","36",,58,"10.1016/0022-1694(95)02878-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030139264&doi=10.1016%2f0022-1694%2895%2902878-1&partnerID=40&md5=688c01cbc8fdba1cd6a8024083d0bd9b",Article,"Final","",Scopus,2-s2.0-0030139264
"Kuchment, L.S., Gelfan, A.N., Demidov, V.N., Motovilov, Yu.G., Nazarov, N.A., Shakhtin, V.Yu.","7003897223;6602256614;7202284590;6603570450;7006059820;6504491133;","Application of physicomathematical models of river runoff formation to estimation of the degree of catastrophic flood hazard",1994,"Meteorologiya i Gidrologiya",,"3",,"93","100",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028386250&partnerID=40&md5=517701305c400080867fed947aadd19b",Article,"Final","",Scopus,2-s2.0-0028386250
"Kuchment, L.S., Gelfan, A.N., Demidov, V.N., Motovilov, Y.G., Nazarov, N.A., Smakhtin, V.Y.","7003897223;6602256614;7202284590;6603570450;7006059820;7005263530;","Application of physicomathematical models of river runoff formation to assessment of the degree of disastrous flood risk",1994,"Russian Meteorology &amp; Hydrology","4",,,"65","69",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028682701&partnerID=40&md5=426b12fa7e51edc369fc4f09f1d5cfe8",Article,"Final","",Scopus,2-s2.0-0028682701
"Kuchment, L.S., Gelfan, A.N.","7003897223;6602256614;","Dynamic-stochastic models of rainfall and snowmelt runoff formation [Modèles dynamico-stochastiques de formation de l’écoulement pluvial et de l’écoulement de fonte des nieges]",1991,"Hydrological Sciences Journal","36","2",,"153","169",,11,"10.1080/02626669109492496","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026296567&doi=10.1080%2f02626669109492496&partnerID=40&md5=2220cd4467e0ddd44a7eeff443c68355",Article,"Final","",Scopus,2-s2.0-0026296567
"Gel'fan, A.N.","6602256614;","Comparison of two methods of calculating soil freezing depth",1989,"Soviet meteorology and hydrology",,"2",,"78","83",,8,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024882324&partnerID=40&md5=bb2ab2d1630e91a703d8d00bcc0a10a1",Article,"Final","",Scopus,2-s2.0-0024882324
