Авторы,Идентификатор автора(ов),Название,Год,Название источника,Том,Выпуск ,Статья №,Страница начала,Страница окончания,Количество страниц,Цитирования,DOI,Ссылка,Организации,Авторы организаций,Адрес для корреспонденции,Редакторы,Издатель,ISSN,ISBN,CODEN,Идентификатор PubMed,Язык оригинального документа,Сокращенное название источника,Тип документа,Стадия публикации,Open Access (открытый доступ),Источник,EID
"Bhattacharya B., Suman A., Solomatine D.","7102753426;56890905000;6601958160;","Developing flood index from past flood hydrographs and using it as a tool to characterize flood severity",2019,"Environmental Engineering and Management Journal","18","5",,"1013","1028",,,"10.30638/eemj.2019.098","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071111380&doi=10.30638%2feemj.2019.098&partnerID=40&md5=74ca4849910a6c4a24f66d04b93d56f8","UNESCO-IHE Institute for Water Education, Delft, Netherlands; Institute for Applied Ecology, Faculty of ESTeM, University of Canberra, Australia; Water Resources Section, Delft University of Technology, Delft, Netherlands","Bhattacharya, B., UNESCO-IHE Institute for Water Education, Delft, Netherlands; Suman, A., Institute for Applied Ecology, Faculty of ESTeM, University of Canberra, Australia; Solomatine, D., UNESCO-IHE Institute for Water Education, Delft, Netherlands, Water Resources Section, Delft University of Technology, Delft, Netherlands","Bhattacharya, B.; UNESCO-IHE Institute for Water EducationNetherlands; эл. почта: b.bhattacharya@unesco-ihe.org",,"Gheorghe Asachi Technical University of Iasi, Romania",15829596,,,,"English","Environ. Eng. Manage. J.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85071111380
"Mazzoleni M., Amaranto A., Solomatine D.P.","56069413500;57200660326;6601958160;","Integrating Qualitative Flow Observations in a Lumped Hydrologic Routing Model",2019,"Water Resources Research","55","7",,"6088","6108",,1,"10.1029/2018WR023768","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070189889&doi=10.1029%2f2018WR023768&partnerID=40&md5=4e7bd6ffc2026991a324aaa11154b1b2","Department of Earth Sciences, Uppsala University, Uppsala, Sweden; Centre of Natural Hazards and Disaster Science, Uppsala, Sweden; Department of Electronics, Information, and Bioengineering, Piazza Leonardo da Vinci, Milano, Italy; Hydroinformatics Chair Group, IHE Delft Institute for Water Education, Delft, Netherlands; Water Resources Section, Delft University of Technology, Delft, Netherlands; Water Problems Institute of RAS, Moscow, Russian Federation","Mazzoleni, M., Department of Earth Sciences, Uppsala University, Uppsala, Sweden, Centre of Natural Hazards and Disaster Science, Uppsala, Sweden; Amaranto, A., Department of Electronics, Information, and Bioengineering, Piazza Leonardo da Vinci, Milano, Italy; Solomatine, D.P., Hydroinformatics Chair Group, IHE Delft Institute for Water Education, Delft, Netherlands, Water Resources Section, Delft University of Technology, Delft, Netherlands, Water Problems Institute of RAS, Moscow, Russian Federation","Mazzoleni, M.; Department of Earth Sciences, Sweden; эл. почта: maurizio.mazzoleni@geo.uu.se",,"Blackwell Publishing Ltd",00431397,,WRERA,,"English","Water Resour. Res.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85070189889
"Amaranto A., Munoz-Arriola F., Solomatine D.P., Corzo G.","57200660326;35435670800;6601958160;16416535700;","A Spatially Enhanced Data-Driven Multimodel to Improve Semiseasonal Groundwater Forecasts in the High Plains Aquifer, USA",2019,"Water Resources Research","55","7",,"5941","5961",,8,"10.1029/2018WR024301","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069801851&doi=10.1029%2f2018WR024301&partnerID=40&md5=d2c69734240df27cacc8b1b3eb90f989","Department of Biological Systems Engineering, University of Nebraska-Lincoln, Lincoln, NE, United States; Hydroinformatics Chair Group, IHE-Delft, Institute for Water Education, Delft, Netherlands; School of Natural Resources, University of Nebraska-Lincoln, Lincoln, NE, United States; Water Resources Section, Delft University of Technology, Delft, Netherlands; Flood Hydrology Lab, Water Problems Institute of RAS, Moscow, Russian Federation","Amaranto, A., Department of Biological Systems Engineering, University of Nebraska-Lincoln, Lincoln, NE, United States, Hydroinformatics Chair Group, IHE-Delft, Institute for Water Education, Delft, Netherlands; Munoz-Arriola, F., Department of Biological Systems Engineering, University of Nebraska-Lincoln, Lincoln, NE, United States, School of Natural Resources, University of Nebraska-Lincoln, Lincoln, NE, United States; Solomatine, D.P., Hydroinformatics Chair Group, IHE-Delft, Institute for Water Education, Delft, Netherlands, Water Resources Section, Delft University of Technology, Delft, Netherlands, Flood Hydrology Lab, Water Problems Institute of RAS, Moscow, Russian Federation; Corzo, G., Hydroinformatics Chair Group, IHE-Delft, Institute for Water Education, Delft, Netherlands","Munoz-Arriola, F.; Department of Biological Systems Engineering, United States; эл. почта: fmunoz@unl.edu",,"Blackwell Publishing Ltd",00431397,,WRERA,,"English","Water Resour. Res.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85069801851
"Mastrantonas N., Bhattacharya B., Shibuo Y., Rasmy M., Espinoza-Dávalos G., Solomatine D.","57203093005;7102753426;15823003200;57190854861;57189001775;6601958160;","Evaluating the benefits of merging near-real-time satellite precipitation products: A case study in the Kinu basin region, Japan",2019,"Journal of Hydrometeorology","20","6",,"1213","1233",,13,"10.1175/JHM-D-18-0190.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070093110&doi=10.1175%2fJHM-D-18-0190.1&partnerID=40&md5=0ea733fe1f91260e21fc504cdae3b47c","IHE Delft Institute for Water Education, Delft, Netherlands; Centre for Ecology and Hydrology, Wallingford, United Kingdom; International Centre for Water Hazard and Risk Management, Tsukuba, Ibaraki, Japan; Water Resources Section, Delft University of Technology, Delft, Netherlands; Water Problems Institute of RAS, Moscow, Russian Federation","Mastrantonas, N., IHE Delft Institute for Water Education, Delft, Netherlands, Centre for Ecology and Hydrology, Wallingford, United Kingdom; Bhattacharya, B., IHE Delft Institute for Water Education, Delft, Netherlands; Shibuo, Y., International Centre for Water Hazard and Risk Management, Tsukuba, Ibaraki, Japan; Rasmy, M., International Centre for Water Hazard and Risk Management, Tsukuba, Ibaraki, Japan; Espinoza-Dávalos, G., IHE Delft Institute for Water Education, Delft, Netherlands; Solomatine, D., IHE Delft Institute for Water Education, Delft, Netherlands, Water Resources Section, Delft University of Technology, Delft, Netherlands, Water Problems Institute of RAS, Moscow, Russian Federation","Mastrantonas, N.; IHE Delft Institute for Water EducationNetherlands; эл. почта: nikmas@ceh.ac.uk",,"American Meteorological Society",1525755X,,,,"English","J. Hydrometeorol.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85070093110
"Zheng F., Tao R., Maier H.R., See L., Savic D., Zhang T., Chen Q., Assumpção T.H., Yang P., Heidari B., Rieckermann J., Minsker B., Bi W., Cai X., Solomatine D., Popescu I.","57204893325;57204893892;7202461054;7006538249;35580202000;7404373750;7406333328;57200959132;57188986779;56878691100;8864150900;57220434004;55837093800;7401847849;6601958160;36598970800;","Crowdsourcing Methods for Data Collection in Geophysics: State of the Art, Issues, and Future Directions",2018,"Reviews of Geophysics","56","4",,"698","740",,34,"10.1029/2018RG000616","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057745268&doi=10.1029%2f2018RG000616&partnerID=40&md5=d30050d7253b1b4298919d820ce3a98e","College of Civil Engineering and Architecture, Zhejiang University, Hangzhou, China; School of Civil, Environmental and Mining Engineering, The University of Adelaide, Adelaide, Australia; Research Cluster Leader, Bushfire and Natural Hazards Cooperative Research Centre, Australia; Scholar, Ecosystems Services and Management Program, International Institute for Applied Systems Analysis (IIASA), Laxenburg, Austria; KWR Watercycle Research Institute, Nieuwegein, Netherlands; Centre for Water Systems, University of Exeter, Exeter, United Kingdom; Center for Eco-Environmental Research, Nanjing Hydraulic Research Institute, Nanjing, China; Department of Integrated Water Systems and Governance, IHE, Delft, Netherlands; Department of Civil and Environmental Engineering, The Hong Kong University of Science and Technology, Hong Kong; Department of Civil and Environmental Engineering, University of Illinois Urbana-Champaign, Urbana, IL, United States; Swiss Federal Institute of Aquatic Science and Technology (Eawag), Duebendorf, Switzerland; Department of Civil and Environmental Engineering, Southern Methodist University, Dallas, TX, United States; College of Civil Engineering and Architecture, Zhejiang University of Technology, China; Water Resources Section, Delft University of Technology, Delft, Netherlands; Water Problems Institute of RAS, Russian Federation","Zheng, F., College of Civil Engineering and Architecture, Zhejiang University, Hangzhou, China; Tao, R., College of Civil Engineering and Architecture, Zhejiang University, Hangzhou, China; Maier, H.R., College of Civil Engineering and Architecture, Zhejiang University, Hangzhou, China, School of Civil, Environmental and Mining Engineering, The University of Adelaide, Adelaide, Australia, Research Cluster Leader, Bushfire and Natural Hazards Cooperative Research Centre, Australia; See, L., Scholar, Ecosystems Services and Management Program, International Institute for Applied Systems Analysis (IIASA), Laxenburg, Austria; Savic, D., KWR Watercycle Research Institute, Nieuwegein, Netherlands, Centre for Water Systems, University of Exeter, Exeter, United Kingdom; Zhang, T., College of Civil Engineering and Architecture, Zhejiang University, Hangzhou, China; Chen, Q., Center for Eco-Environmental Research, Nanjing Hydraulic Research Institute, Nanjing, China; Assumpção, T.H., Department of Integrated Water Systems and Governance, IHE, Delft, Netherlands; Yang, P., Department of Civil and Environmental Engineering, The Hong Kong University of Science and Technology, Hong Kong, Department of Civil and Environmental Engineering, University of Illinois Urbana-Champaign, Urbana, IL, United States; Heidari, B., Department of Civil and Environmental Engineering, University of Illinois Urbana-Champaign, Urbana, IL, United States; Rieckermann, J., Swiss Federal Institute of Aquatic Science and Technology (Eawag), Duebendorf, Switzerland; Minsker, B., Department of Civil and Environmental Engineering, Southern Methodist University, Dallas, TX, United States; Bi, W., College of Civil Engineering and Architecture, Zhejiang University of Technology, China; Cai, X., Department of Civil and Environmental Engineering, University of Illinois Urbana-Champaign, Urbana, IL, United States; Solomatine, D., Department of Integrated Water Systems and Governance, IHE, Delft, Netherlands, Water Resources Section, Delft University of Technology, Delft, Netherlands, Water Problems Institute of RAS, Russian Federation; Popescu, I., Department of Integrated Water Systems and Governance, IHE, Delft, Netherlands","Zheng, F.; College of Civil Engineering and Architecture, China; эл. почта: feifeizheng@zju.edu.cn",,"Blackwell Publishing Ltd",87551209,,,,"English","Rev. Geophys.",Review,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85057745268
"Marquez Calvo O.O., Quintiliani C., Alfonso L., Di Cristo C., Leopardi A., Solomatine D., de Marinis G.","57208343318;56826126600;35796956100;57201073294;24076344500;6601958160;14047924100;","Robust optimization of valve management to improve water quality in WDNs under demand uncertainty",2018,"Urban Water Journal","15","10",,"943","952",,6,"10.1080/1573062X.2019.1595673","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064562922&doi=10.1080%2f1573062X.2019.1595673&partnerID=40&md5=93b0e500d04cc47bd4e5e42aa2798691","Department of Integrated Water Systems and Governance, IHE Delft Institute for Water Education, Delft, Netherlands; Department of Civil and Mechanical Engineering, University of Cassino and Southern Lazio, Cassino, Italy","Marquez Calvo, O.O., Department of Integrated Water Systems and Governance, IHE Delft Institute for Water Education, Delft, Netherlands; Quintiliani, C., Department of Civil and Mechanical Engineering, University of Cassino and Southern Lazio, Cassino, Italy; Alfonso, L., Department of Integrated Water Systems and Governance, IHE Delft Institute for Water Education, Delft, Netherlands; Di Cristo, C., Department of Civil and Mechanical Engineering, University of Cassino and Southern Lazio, Cassino, Italy; Leopardi, A., Department of Civil and Mechanical Engineering, University of Cassino and Southern Lazio, Cassino, Italy; Solomatine, D., Department of Integrated Water Systems and Governance, IHE Delft Institute for Water Education, Delft, Netherlands; de Marinis, G., Department of Civil and Mechanical Engineering, University of Cassino and Southern Lazio, Cassino, Italy","Marquez Calvo, O.O.; Department of Integrated Water Systems and Governance, Netherlands; эл. почта: o.marquezcalvo@un-ihe.org",,"Taylor and Francis Ltd.",1573062X,,,,"English","Urban Water J.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85064562922
"Laverde-Barajas M., Corzo Perez G.A., Dalfré Filho J.G., Solomatine D.P.","56605026200;16416535700;55347249800;6601958160;","Assessing the performance of near real-time rainfall products to represent spatiotemporal characteristics of extreme events: case study of a subtropical catchment in south-eastern Brazil",2018,"International Journal of Remote Sensing","39","21",,"7568","7586",,2,"10.1080/01431161.2018.1475773","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056815918&doi=10.1080%2f01431161.2018.1475773&partnerID=40&md5=3cb1d1e6816465322a12b693015288fa","Integrated Water Systems and Governance department, IHE Delft Institute for Water Education, Delft, Netherlands; Water Resources Section, Delft University of Technology, Delft, Netherlands; School of Civil Engineering, Architecture and Urbanism, University of Campinas, UNICAMP, Campinas, Brazil","Laverde-Barajas, M., Integrated Water Systems and Governance department, IHE Delft Institute for Water Education, Delft, Netherlands, Water Resources Section, Delft University of Technology, Delft, Netherlands; Corzo Perez, G.A., Integrated Water Systems and Governance department, IHE Delft Institute for Water Education, Delft, Netherlands; Dalfré Filho, J.G., School of Civil Engineering, Architecture and Urbanism, University of Campinas, UNICAMP, Campinas, Brazil; Solomatine, D.P., Integrated Water Systems and Governance department, IHE Delft Institute for Water Education, Delft, Netherlands, Water Resources Section, Delft University of Technology, Delft, Netherlands","Laverde-Barajas, M.; IHE Delft Institute for Water EducationNetherlands; эл. почта: m.laverde@un-ihe.org",,"Taylor and Francis Ltd.",01431161,,IJSED,,"English","Int. J. Remote Sens.",Article,"Final","",Scopus,2-s2.0-85056815918
"Amaranto A., Munoz-Arriola F., Corzo G., Solomatine D.P., Meyer G.","57200660326;35435670800;16416535700;6601958160;7402851286;","Semi-seasonal groundwater forecast using multiple data-driven models in an irrigated cropland",2018,"Journal of Hydroinformatics","20","6",,"1227","1246",,17,"10.2166/hydro.2018.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052081158&doi=10.2166%2fhydro.2018.002&partnerID=40&md5=2ce85f6776820f3513aae3d40e1f5979","Biological Systems Engineering Department, University of Nebraska-Lincoln, Lincoln, NE  68588, United States; IHE Delft Institute for Water Education, Delft, Netherlands; Water Resources Section, Delft University of Technology, Delft, Netherlands; Water Problems Institute of RAS, Moscow, Russian Federation","Amaranto, A., Biological Systems Engineering Department, University of Nebraska-Lincoln, Lincoln, NE  68588, United States, IHE Delft Institute for Water Education, Delft, Netherlands; Munoz-Arriola, F., Biological Systems Engineering Department, University of Nebraska-Lincoln, Lincoln, NE  68588, United States; Corzo, G., IHE Delft Institute for Water Education, Delft, Netherlands; Solomatine, D.P., IHE Delft Institute for Water Education, Delft, Netherlands, Water Resources Section, Delft University of Technology, Delft, Netherlands, Water Problems Institute of RAS, Moscow, Russian Federation; Meyer, G., Biological Systems Engineering Department, University of Nebraska-Lincoln, Lincoln, NE  68588, United States","Munoz-Arriola, F.; Biological Systems Engineering Department, United States; эл. почта: fmunoz@unl.edu",,"IWA Publishing",14647141,,,,"English","J. Hydroinformatics",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85052081158
"Uribe N., Corzo G., Quintero M., van Griensven A., Solomatine D.","57203033078;16416535700;16246442600;6602848973;6601958160;","Impact of conservation tillage on nitrogen and phosphorus runoff losses in a potato crop system in Fuquene watershed, Colombia",2018,"Agricultural Water Management","209",,,"62","72",,15,"10.1016/j.agwat.2018.07.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050339889&doi=10.1016%2fj.agwat.2018.07.006&partnerID=40&md5=ba402dcb8262693cac5b656cc96d9ea5","Department of IWSG, IHE-Delft Institute for Water Education, P.O. Box 3015, Delft, DA  2601, Netherlands; Faculty of Civil Engineering and Geosciences, Delft University of Technology, P.O. Box 5048, Delft, GA  2600, Netherlands; International Center for Tropical Agriculture (CIAT), Km 17 recta Cali-Palmira, P.O. Box, Cali, 763537, Colombia","Uribe, N., Department of IWSG, IHE-Delft Institute for Water Education, P.O. Box 3015, Delft, DA  2601, Netherlands, Faculty of Civil Engineering and Geosciences, Delft University of Technology, P.O. Box 5048, Delft, GA  2600, Netherlands; Corzo, G., Department of IWSG, IHE-Delft Institute for Water Education, P.O. Box 3015, Delft, DA  2601, Netherlands; Quintero, M., International Center for Tropical Agriculture (CIAT), Km 17 recta Cali-Palmira, P.O. Box, Cali, 763537, Colombia; van Griensven, A., Department of IWSG, IHE-Delft Institute for Water Education, P.O. Box 3015, Delft, DA  2601, Netherlands; Solomatine, D., Department of IWSG, IHE-Delft Institute for Water Education, P.O. Box 3015, Delft, DA  2601, Netherlands, Faculty of Civil Engineering and Geosciences, Delft University of Technology, P.O. Box 5048, Delft, GA  2600, Netherlands","Uribe, N.; Department of IWSG, P.O. Box 3015, Netherlands; эл. почта: n.uribe@un-ihe.org",,"Elsevier B.V.",03783774,,AWMAD,,"English","Agric. Water Manage.",Article,"Final","",Scopus,2-s2.0-85050339889
"Casson D.R., Werner M., Weerts A., Solomatine D.","57203874408;9234398800;6602950477;6601958160;","Global re-analysis datasets to improve hydrological assessment and snow water equivalent estimation in a sub-Arctic watershed",2018,"Hydrology and Earth System Sciences","22","9",,"4685","4697",,4,"10.5194/hess-22-4685-2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053342121&doi=10.5194%2fhess-22-4685-2018&partnerID=40&md5=03380d61d56ee4b64f4504ea2727253a","IHE Delft Institute of Water Education, Hydroinformatics Depart Group, P.O. Box 3015, DA, Delft, 2601, Netherlands; Deltares Operational Water Management, P.O. Box 177, MH, Delft, 2600, Netherlands; Wageningen University and Research, Hydrology and Quantitative Water Management Group, P.O. Box 47, AA, Wageningen, 6700, Netherlands; Delft University of Technology, Water Resources Section, P.O. Box 5048, GA, Delft, 2600, Netherlands","Casson, D.R., IHE Delft Institute of Water Education, Hydroinformatics Depart Group, P.O. Box 3015, DA, Delft, 2601, Netherlands, Deltares Operational Water Management, P.O. Box 177, MH, Delft, 2600, Netherlands; Werner, M., IHE Delft Institute of Water Education, Hydroinformatics Depart Group, P.O. Box 3015, DA, Delft, 2601, Netherlands, Deltares Operational Water Management, P.O. Box 177, MH, Delft, 2600, Netherlands; Weerts, A., Deltares Operational Water Management, P.O. Box 177, MH, Delft, 2600, Netherlands, Wageningen University and Research, Hydrology and Quantitative Water Management Group, P.O. Box 47, AA, Wageningen, 6700, Netherlands; Solomatine, D., IHE Delft Institute of Water Education, Hydroinformatics Depart Group, P.O. Box 3015, DA, Delft, 2601, Netherlands, Delft University of Technology, Water Resources Section, P.O. Box 5048, GA, Delft, 2600, Netherlands","Casson, D.R.; IHE Delft Institute of Water Education, P.O. Box 3015, Netherlands; эл. почта: dave.casson@deltares.nl",,"Copernicus GmbH",10275606,,,,"English","Hydrol. Earth Syst. Sci.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85053342121
"Mazzoleni M., Chacon-Hurtado J., Noh S.J., Seo D.-J., Alfonso L., Solomatine D.","56069413500;56737155600;57203259062;7201423744;35796956100;6601958160;","Data assimilation in hydrologic routing: Impact of model error and sensor placement on flood forecasting",2018,"Journal of Hydrologic Engineering","23","6", 04018018,"","",,2,"10.1061/(ASCE)HE.1943-5584.0001656","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044721011&doi=10.1061%2f%28ASCE%29HE.1943-5584.0001656&partnerID=40&md5=48cc268e83918df4de10c5508a9d0a8c","Integrated Water Systems and Governance, IHE Delft Institute for Water Education, Westvest 7, 2611 AX, Delft, Netherlands; Dept. of Civil Engineering, Univ. of Texas at Arlington, Nedderman Hall 417, Arlington, TX  76010, United States; IHE Delft Institute for Water Education, Westvest 7, 2611 AX, Delft, Netherlands; Water Resources Section, Delft Univ. of Technology, Mekelweg 2, 2628 CD, Delft, Netherlands; Water Problems Institute of RAS, Gubkina, 3, Moscow, 117971, Russian Federation","Mazzoleni, M., Integrated Water Systems and Governance, IHE Delft Institute for Water Education, Westvest 7, 2611 AX, Delft, Netherlands; Chacon-Hurtado, J., Integrated Water Systems and Governance, IHE Delft Institute for Water Education, Westvest 7, 2611 AX, Delft, Netherlands; Noh, S.J., Dept. of Civil Engineering, Univ. of Texas at Arlington, Nedderman Hall 417, Arlington, TX  76010, United States; Seo, D.-J., Dept. of Civil Engineering, Univ. of Texas at Arlington, Nedderman Hall 417, Arlington, TX  76010, United States; Alfonso, L., IHE Delft Institute for Water Education, Westvest 7, 2611 AX, Delft, Netherlands; Solomatine, D., Integrated Water Systems and Governance, IHE Delft Institute for Water Education, Westvest 7, 2611 AX, Delft, Netherlands, Water Resources Section, Delft Univ. of Technology, Mekelweg 2, 2628 CD, Delft, Netherlands, Water Problems Institute of RAS, Gubkina, 3, Moscow, 117971, Russian Federation","Mazzoleni, M.; Integrated Water Systems and Governance, Westvest 7, 2611 AX, Netherlands; эл. почта: m.mazzoleni@un-ihe.org",,"American Society of Civil Engineers (ASCE)",10840699,,,,"English","J. Hydrol. Eng.",Article,"Final","",Scopus,2-s2.0-85044721011
"Gelfan A., Moreydo V., Motovilov Y., Solomatine D.P.","6602256614;56681224900;6603570450;6601958160;","Long-term ensemble forecast of snowmelt inflow into the Cheboksary Reservoir under two different weather scenarios",2018,"Hydrology and Earth System Sciences","22","4",,"2073","2089",,2,"10.5194/hess-22-2073-2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045017524&doi=10.5194%2fhess-22-2073-2018&partnerID=40&md5=1581506a19ceffde3cbd66a3e0c494a8","Water Problems Institute of Russian Academy of Sciences, Watershed Hydrology Lab., Moscow, Russian Federation; Moscow State University, Geographical Department, Moscow, Russian Federation; IHE Delft Institute for Water Education, Department of Hydroinformatics, Delft, Netherlands; Delft University of Technology, Water Resources Section, Delft, Netherlands","Gelfan, A., Water Problems Institute of Russian Academy of Sciences, Watershed Hydrology Lab., Moscow, Russian Federation, Moscow State University, Geographical Department, Moscow, Russian Federation; Moreydo, V., Water Problems Institute of Russian Academy of Sciences, Watershed Hydrology Lab., Moscow, Russian Federation; Motovilov, Y., Water Problems Institute of Russian Academy of Sciences, Watershed Hydrology Lab., Moscow, Russian Federation; Solomatine, D.P., Water Problems Institute of Russian Academy of Sciences, Watershed Hydrology Lab., Moscow, Russian Federation, IHE Delft Institute for Water Education, Department of Hydroinformatics, Delft, Netherlands, Delft University of Technology, Water Resources Section, Delft, Netherlands","Gelfan, A.; Water Problems Institute of Russian Academy of Sciences, Russian Federation; эл. почта: hydrowpi@iwp.ru",,"Copernicus GmbH",10275606,,,,"English","Hydrol. Earth Syst. Sci.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85045017524
"Bayissa Y., Maskey S., Tadesse T., van Andel S.J., Moges S., van Griensven A., Solomatine D.","55096886000;6603388008;6603979433;15521024700;6507460147;6602848973;6601958160;","Comparison of the performance of six drought indices in characterizing historical drought for the upper Blue Nile Basin, Ethiopia",2018,"Geosciences (Switzerland)","8","3", 81,"","",,49,"10.3390/geosciences8030081","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044596001&doi=10.3390%2fgeosciences8030081&partnerID=40&md5=ee00a74b4853a73a167ff316bc58db29","IHE Delft Institute for Water Education, Westvest 7, Delft, 2611 AX, Netherlands; National Drought Mitigation Center, University of Nebraska-Lincoln, 815 Hardin Hall, 3310 Holdrege St, Lincoln, NE  68583, United States; Department of Civil Engineering, Addis Ababa Institute of Technology, King George VI St, Addis Ababa, 1000, Ethiopia; Department of Water Science and Engineering, Vrije Universiteit Brussel, Boulevard de la Plaine 2, Ixelles, 1050, Belgium; Water Resources Section, Delft University of Technology, Delft, 2600 GA, Netherlands; Water Problems Institute of RAS, Gubkina st., 3, Moscow, 119333, Russian Federation","Bayissa, Y., IHE Delft Institute for Water Education, Westvest 7, Delft, 2611 AX, Netherlands, National Drought Mitigation Center, University of Nebraska-Lincoln, 815 Hardin Hall, 3310 Holdrege St, Lincoln, NE  68583, United States; Maskey, S., IHE Delft Institute for Water Education, Westvest 7, Delft, 2611 AX, Netherlands; Tadesse, T., National Drought Mitigation Center, University of Nebraska-Lincoln, 815 Hardin Hall, 3310 Holdrege St, Lincoln, NE  68583, United States; van Andel, S.J., IHE Delft Institute for Water Education, Westvest 7, Delft, 2611 AX, Netherlands; Moges, S., Department of Civil Engineering, Addis Ababa Institute of Technology, King George VI St, Addis Ababa, 1000, Ethiopia; van Griensven, A., IHE Delft Institute for Water Education, Westvest 7, Delft, 2611 AX, Netherlands, Department of Water Science and Engineering, Vrije Universiteit Brussel, Boulevard de la Plaine 2, Ixelles, 1050, Belgium; Solomatine, D., IHE Delft Institute for Water Education, Westvest 7, Delft, 2611 AX, Netherlands, Water Resources Section, Delft University of Technology, Delft, 2600 GA, Netherlands, Water Problems Institute of RAS, Gubkina st., 3, Moscow, 119333, Russian Federation","Bayissa, Y.; IHE Delft Institute for Water Education, Westvest 7, Netherlands; эл. почта: ybayissa2@unl.edu",,"MDPI AG",20763263,,,,"English","Geosciences",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85044596001
"Assumpção T.H., Popescu I., Jonoski A., Solomatine D.P.","57200959132;36598970800;6506344580;6601958160;","Citizen observations contributing to flood modelling: Opportunities and challenges",2018,"Hydrology and Earth System Sciences","22","2",,"1473","1489",,47,"10.5194/hess-22-1473-2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042716122&doi=10.5194%2fhess-22-1473-2018&partnerID=40&md5=149c45b3fc7cb5ecbfced218f1a42483","Integrated Water Systems and Governance, IHE Delft, Delft, Netherlands; Water Resources Section, Delft University of Technology, Delft, Netherlands","Assumpção, T.H., Integrated Water Systems and Governance, IHE Delft, Delft, Netherlands; Popescu, I., Integrated Water Systems and Governance, IHE Delft, Delft, Netherlands; Jonoski, A., Integrated Water Systems and Governance, IHE Delft, Delft, Netherlands; Solomatine, D.P., Integrated Water Systems and Governance, IHE Delft, Delft, Netherlands, Water Resources Section, Delft University of Technology, Delft, Netherlands","Assumpção, T.H.; Integrated Water Systems and Governance, Netherlands; эл. почта: t.hermanassumpcao@un-ihe.org",,"Copernicus GmbH",10275606,,,,"English","Hydrol. Earth Syst. Sci.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85042716122
"Mazzoleni M., Noh S.J., Lee H., Liu Y., Seo D.-J., Amaranto A., Alfonso L., Solomatine D.P.","56069413500;57203259062;15725512100;8617816400;7201423744;57200660326;35796956100;6601958160;","Real-time assimilation of streamflow observations into a hydrological routing model: effects of model structures and updating methods",2018,"Hydrological Sciences Journal","63","3",,"386","407",,9,"10.1080/02626667.2018.1430898","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042117943&doi=10.1080%2f02626667.2018.1430898&partnerID=40&md5=56855cd9a8594b801f478e06beb31b67","Department of Integrated Water Systems and Governance, IHE-Delft, Institute for Water Education, Delft, Netherlands; Department of Civil Engineering, University of Texas at Arlington, Arlington, TX, United States; LEN Technologies, Oak Hill, VA, United States; Biological System Engineering Department, University of Nebraska-Lincoln, Lincoln, NE, United States; Water Resources Section, Delft University of Technology, Delft, Netherlands","Mazzoleni, M., Department of Integrated Water Systems and Governance, IHE-Delft, Institute for Water Education, Delft, Netherlands; Noh, S.J., Department of Civil Engineering, University of Texas at Arlington, Arlington, TX, United States; Lee, H., LEN Technologies, Oak Hill, VA, United States; Liu, Y., LEN Technologies, Oak Hill, VA, United States; Seo, D.-J., Department of Civil Engineering, University of Texas at Arlington, Arlington, TX, United States; Amaranto, A., Department of Integrated Water Systems and Governance, IHE-Delft, Institute for Water Education, Delft, Netherlands, Biological System Engineering Department, University of Nebraska-Lincoln, Lincoln, NE, United States; Alfonso, L., Department of Integrated Water Systems and Governance, IHE-Delft, Institute for Water Education, Delft, Netherlands; Solomatine, D.P., Department of Integrated Water Systems and Governance, IHE-Delft, Institute for Water Education, Delft, Netherlands, Water Resources Section, Delft University of Technology, Delft, Netherlands","Noh, S.J.; Department of Civil Engineering, United States; эл. почта: seongjin.noh@gmail.com",,"Taylor and Francis Ltd.",02626667,,HSJOD,,"English","Hydrol. Sci. J.",Article,"Final","",Scopus,2-s2.0-85042117943
